n,sigma_r,sigma_t,p,q,rep_no,dq_mean_rerr,dq_min_rerr,dq_max_rerr,dq_mean_terr,dq_min_terr,dq_max_terr,mat_mean_rerr,mat_min_rerr,mat_max_rerr,mat_mean_terr,mat_min_terr,mat_max_terr
100,0,0,0.2,0.5,0,1.327836036583306,0.28556406187794503,3.3578568845376884,0.7765988623667717,0.15839331679315158,2.2766806013724366,0.5070343313979153,0.052608801979708214,1.893573339996467,0.8821088224272395,0.09946670183117216,2.274953721817803
100,0,0,0.2,0.5,1,1.2251412917437086,0.1535673519598053,3.6294209419724766,0.85267273845601,0.12651992640620602,2.6352705755320036,0.508581257494676,0.04477211731315597,1.7712407388134284,0.840511481908092,0.07184433547355946,1.981706955531106
100,0,0,0.2,0.5,2,1.4741820321136965,0.06286530030613217,3.7325814112314517,0.8610725496229326,0.14733501664690488,2.0073440248490693,0.5966601214935544,0.10055353438354617,1.7049380750114258,0.8610320145973105,0.21382504773200697,2.0695210649033626
100,0,0,0.2,0.5,3,1.4761390397393606,0.24637843511144028,3.905041101303856,0.7947057328632448,0.063029688844645,2.0315011394427156,0.6232233675320592,0.09699364965619763,2.563578006142793,0.8588988269082779,0.20329836405658208,2.293285731580714
100,0,0,0.2,0.5,4,1.4628646645360504,0.30911512670257546,4.289363448394865,0.8125310616386123,0.13903604995088484,1.8095176843694853,0.585049474792584,0.13018500902948774,1.748917928798195,0.8191887573928195,0.11406635450411934,2.060408176680457
100,0,0,0.2,0.5,5,1.3818185539191865,0.22920060262742423,3.9805560871288472,0.8472680794122952,0.181092713551692,2.176836296886354,0.8349398078692778,0.19530195467999442,2.704600512388084,0.8905235275836071,0.19775732066860716,2.1261482032545844
100,0,0,0.2,0.5,6,1.3481438076543162,0.19447821043955396,3.61145157947437,0.80896347280988,0.08603555106634875,2.468394306578224,0.6055866728936499,0.08776037283426776,2.6564714828429477,0.8455402273561842,0.09906226601291583,1.9140322518822535
100,0,0,0.2,0.5,7,1.4642751264503848,0.2253803013700417,3.5825169542784288,0.7797816376368405,0.08814653273299944,2.121344632714541,0.5511402655537982,0.13900148336961227,1.4668595588077293,0.8031624270804636,0.1260702225950988,1.8796311672560757
100,0,0,0.2,0.5,8,1.3524576670834858,0.2135806052358897,4.7594273116727805,0.9280050617135233,0.17680973730049218,4.0328919066798425,0.7943299628038141,0.08913949214822688,5.4674093458557325,0.9704347057752991,0.2389091742423691,2.2046271932334682
100,0,0,0.2,0.5,9,1.1589386006345064,0.16571399777823667,3.341282007192074,0.7160645474280395,0.12747727635062947,2.157662720554459,0.5530038981276556,0.09385250709882985,1.5614937154796216,0.7648163490672738,0.11362376942884907,1.9179453304867844
100,0,0,0.2,0.5,10,1.2910591671093166,0.16227909561734458,4.2800466478451415,0.7901601899848442,0.19592318541999346,2.790214059413048,0.6165328016457002,0.10878357136270252,5.480218649093106,0.7780891416446083,0.1716337645895517,2.024970337952423
100,0,0,0.2,0.5,11,1.3698495202245267,0.09608601579177832,4.58201248730695,0.8026650838518334,0.16833459056370692,1.9703859514394966,0.5866078385763355,0.12215896093961726,2.085731687777151,0.9064356565699306,0.20771075184855706,2.259081629546077
100,0,0,0.2,0.5,12,1.3155928607321536,0.18357493462458516,3.2519217936791485,0.7887144424310085,0.06192602131599968,2.0016311764031585,0.5351781406035393,0.10662476527912997,1.5944457301730803,0.8458865101760631,0.10405923208203595,2.2437662845995625
100,0,0,0.2,0.5,13,1.2544690117287234,0.22192796837046427,4.46528788901564,0.8163354786924338,0.1834191937161226,2.0215411167909836,0.6345948658573137,0.08456350669866512,6.249951110969092,0.8058671667551449,0.2663588659672399,2.067676100139638
100,0,0,0.2,0.5,14,1.2522010126895846,0.07010112479539579,4.561699712625508,0.7901420067532747,0.16192092637622155,2.305920843655549,0.5556128229706033,0.03614460285845968,3.542807631422523,0.8933276390633593,0.2077783326676044,2.2270088578674816
100,0,0,0.2,0.5,15,1.4789414071034337,0.2482539944283571,3.8172103463768505,0.8701808775364438,0.13595528002797477,2.549645246887816,0.6761524249029057,0.09235463907112203,2.4727998263614417,0.9100463360514339,0.08110171860236304,1.9551965138716823
100,0,0,0.2,0.5,16,1.4067199390570675,0.3021398284115783,3.67997478344296,0.8059693542313263,0.27761121378132086,2.7243682011197974,0.6546366388584799,0.07810365838541279,2.7933509591160224,0.8176950695061662,0.20932310288117745,2.5621700291931417
100,0,0,0.2,0.5,17,1.3650466143002493,0.23515105611335047,3.2242792730214638,0.8279644076559676,0.17789802666898608,1.8890454703773456,4.126941080147921,2.9097722026698105,5.381051206107113,0.8264173377007993,0.13824221656388208,2.100411873866311
100,0,0,0.2,0.5,18,1.1890579776911654,0.16169628550481022,3.578830767972904,0.7608929364408544,0.15589190186443877,2.4145943677167403,0.5149145447177873,0.05004191148513419,2.437997814432137,0.8169264087430611,0.23622624411405463,2.5445047397595673
100,0,0,0.2,0.5,19,1.3298171975198658,0.14569786479601873,3.941345458427767,0.8408999321454428,0.09785841412857019,2.3051507811083973,0.6131130824471338,0.061674870440132694,3.1083360301514595,0.8607747083140136,0.12175864401855507,1.8399795109220773
100,0,0,0.2,0.5,20,1.4663554752075785,0.169815800357647,4.659622102517085,0.7540422340884447,0.13713623212789175,2.2383877865783317,0.5713463339616489,0.1325014630352362,1.490495692763688,0.8119969358878971,0.10781452435805858,1.914859028614503
100,0,0,0.2,0.5,21,1.3975681010393035,0.24628803013012496,4.487822116425555,0.7695453413128717,0.19246036539554018,2.581735689668776,3.8757480117237124,0.20861071673541248,6.237463069894391,0.8387080246986384,0.23496719054881543,2.4614952460758674
100,0,0,0.2,0.5,22,1.185374486718488,0.1034697950133131,3.0240569410378377,0.7741614070685152,0.20908878461043096,1.6956047536775332,0.5837716350720151,0.056508089300727773,2.8135032392930457,0.8150929150829408,0.08436057126582842,1.822236021833272
100,0,0,0.2,0.5,23,1.4657053259049915,0.19010819370573406,5.152548940487945,0.8288778739425691,0.11548787390749544,2.306902152842388,0.9410000735994527,0.25210920303109113,6.2225564296810045,0.8581707395776783,0.1391035800810214,2.237085317253437
100,0,0,0.2,0.5,24,1.50419287306347,0.2841036009474827,4.608638396213555,0.9247242040827537,0.1539731256706731,4.632846809883868,0.604295669818715,0.05779761151546594,2.0247609569071945,0.8941786984262641,0.13802161404754865,2.2492667804345
100,0,0,0.2,0.5,25,1.2666625022507163,0.2148202904651082,3.4636931566854137,0.7094426592804249,0.12493217337227493,1.5905725750894921,0.574825421236939,0.043774409649224195,1.9439027097789299,0.7768313137320635,0.11730597542693535,1.5610154111219325
100,0,0,0.2,0.5,26,1.416008794797479,0.2000676406574482,4.5436387040760575,0.8473435555992702,0.2128024421320101,1.8068664061259634,1.9255432007359232,0.8996116946094095,3.7398783047191726,0.9095351827412164,0.16681750218894836,1.9471964577262244
100,0,0,0.2,0.5,27,1.2249849914624042,0.14405616306154334,4.203506943641311,0.8276738293523809,0.1701049066484293,2.4938774522860347,0.578037736103175,0.09159498281255343,4.63368426543215,0.8328324218477295,0.20539681489416833,2.4423122143389984
100,0,0,0.2,0.5,28,1.4872631645300314,0.19304761689924493,5.709269203623514,0.7695577063896638,0.15926830599412112,2.25224514211408,0.6016802251897603,0.017798245908337278,1.942315740858095,0.7962707112617907,0.09992038820203988,1.8231274397607413
100,0,0,0.2,0.5,29,1.2544386077109606,0.2009981118695564,3.4113464764529158,0.7863601182983868,0.16096549194070692,2.820785604449573,0.5034788731328351,0.024039745216787613,1.2692757762810045,0.8333331026760704,0.15741146796618977,1.839462394833788
100,0,0,0.2,0.5,30,1.2775313134559771,0.10252883446076558,2.9009252961789778,0.7599716334775526,0.09425227393140383,1.5932790576230833,0.5755000079272733,0.10762602480851823,2.6812044821091776,0.8161313403313457,0.13914432323776835,1.785186736338791
100,0,0,0.2,0.5,31,1.4520065788524759,0.11639101085741999,3.337382084235932,0.855219870201536,0.20806695566471833,2.1663201481193917,0.6412658503350017,0.13565642214280127,1.9301256027804072,0.9079933427032454,0.18314634349206846,1.884082083272372
100,0,0,0.2,0.5,32,1.3275103968374862,0.14756143603996258,3.1408667900879257,0.7817235862641698,0.10203624924893305,2.3109909566372093,0.6413435986732503,0.07027933797756834,1.6644671757775646,0.8217487746045659,0.12906691661398084,2.18526060363329
100,0,0,0.2,0.5,33,1.5696955153652579,0.08912379791058482,4.672505686489458,0.9070114261779387,0.1070139759760864,2.6149296129964337,0.9586782952786104,0.13718569731861402,3.343696904714153,0.894703419967867,0.09590870873172565,2.1388669592233382
100,0,0,0.2,0.5,34,1.2771841303474476,0.27129247432972164,3.6010210764805297,0.7804775344149489,0.12888192472807886,2.251258757923918,0.60064241785014,0.09649905356624046,1.8141373680371593,0.8584503212080189,0.11189677757976778,1.9373059775444383
100,0,0,0.2,0.5,35,1.3236883028571518,0.045467723294934016,3.7070428799612434,0.760863543945343,0.17319645933180117,1.5859745482894627,0.6846990721131415,0.016676039741089756,4.701943449874427,0.8305278778794529,0.18683848851922388,2.322162195927932
100,0,0,0.2,0.5,36,1.3966243731057875,0.2728163407973716,4.538743025356686,0.8025229871322281,0.05835364547640737,2.3169743766198736,0.7601126257937293,0.1413971968004201,2.6608699996223817,0.8464344186255307,0.17822590864602791,2.381940586060686
100,0,0,0.2,0.5,37,1.3276647059498459,0.20928236055139285,3.6591875335133683,0.8589133468304017,0.10678906093894998,2.5438790876092856,0.6316065608161698,0.1410347916087282,1.7145576565707752,0.9120557297094177,0.12346813074121503,1.8987920485882255
100,0,0,0.2,0.5,38,1.3019449314828069,0.18392986065844438,4.460969179586096,0.7047370643872535,0.11551728069089581,2.0349585614086645,0.6897807485930008,0.060655956680087206,2.4553725114517366,0.765260042817961,0.23495076828259953,1.7048467099477307
